 ,Cal_yrs_BP,max,min,Acacia,Acalypha,Adiantum,Agavoideae,Alisma,Alnus,Alternanthera,Amaranthaceae undiff.,Ambrosia-type,Amyris,Anacardiaceae undiff.,Annona-type,Antigonon,Antirhea,Apiaceae,Apocynaceae undiff.,Arecaceae undiff.,Asteraceae (large),Asteroideae (high spine),Asteroideae (low spine),Avicennia,Bumelia,Bursera,Buxus,Caesalpinia,Campyloneurum phyllitidis,Capparis,Capraria,Caryophyllaceae,Casasia,Casearia,Castanea,Casuarina,Celtis,Ceratopteris,Cichorioideae,Coccoloba,Commelina,Conocarpus,Convolvulaceae undiff.,Corchorus,Cordia,Crossopetalum,Crotalaria,Cupressaceae,Cyperaceae,Dalbergia,Desmodium,Dodonaea-type,Echinodorus,Echites,Erithalis,Ernodea,Erythrina,Euphorbia,Exostema,Exothea,Faboideae undiff.,Ficus,Fungi undiff.,Gochnatia,Guaiacum,Guapira,Guettarda,Hedyotis,Helianthus-type,Heliotropium,Ilex,Indeterminable,Ipomoea,Isoetes,Laguncularia,Lamiaceae,Lantana,Lemna,Leucaena,Liliaceae,Linum,Ludwigia,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lycopodium tablets,Malpighiaceae undiff.,Malvaceae undiff.,Manilkara,Mascagnia,Maytenus,Metopium,Moraceae undiff.,Myrica,Myrsine,Myrtaceae,Onagraceae undiff.,Passiflora,Phlebodium aureum,Phyllanthus,Pinus,Plantago,Poaceae (Cerealia),Poaceae undiff.,Polypodium,Pouteria,Pteris,Rachicallis,Ravenea,Rhamnaceae,Rhizophora,Sabal,Sapotaceae undiff.,Schinus,Sesuvium,Solanaceae,Spermacoce,Sporormiella,Stemodia,Strumpfia,Swietenia,Tabebuia,Tecoma,Teramnus,Tetrazygia,Thouinia,Tillandsia,Tournefortia,Trema,Tsuga,Typha angustifolia-type,Ulmus,Unknown (trilete),Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type E),Unknown (type F),Unknown (type G),Unknown (type H),Unknown (type I),Unknown (type J),Unknown (type K),Unknown (type L),Unknown (type M),Unknown (type N),Unknown (type O),Unknown (type P),Unknown (type Q),Unknown (type R),Unknown (type S),Unknown (type T),Unknown undiff.,Urena,Urticaceae,Vitaceae,Zanthoxylum,Zea mays,cf. Alnus,cf. Artemisia,cf. Carya,cf. Pistacia,cf. Quercus,cf. Tripsacum
,1234,1312,1147,,,,,,,,,,,10,,,,,,52,,2,,,,6,,,1,,,,,,,,,,,2,,,,,,,,,1,,2,,,,,,,2,,,20,,,,2,,,,,,,7,1,,3,,,11,,,,,233,2,12542,124961,,,,,,,,4,,76,,,1,,2,,,1,1,,,1,,,1,1,1,,,2,,,,,,,10,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,
,1250,1324,1166,,,,,,,,1,1,,21,,,,,,35,,2,,,,7,,,,,,,,,,,,,,,,3,,,,,,,1,1,,,,,,,,8,,,17,,,,6,,,,,,1,24,,,,,,22,,2,1,,153,2,12542,124961,,,,1,,1,,7,,128,,,2,,3,,,,7,1,,1,,1,,,3,,2,5,,,1,,,,12,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1267,1337,1180,,,,,,,,,,,23,,,,,,49,,,,,,12,,,2,,,,,,,,,,,2,,1,,,,,,2,4,,,,,,,,,4,,,15,,,,,,,,,,,21,,,,,,7,,1,,,98,2,12542,124961,,,,2,,,,1,,77,,,6,,4,,,,,2,,1,,1,,,,,,3,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,1275,1347,1186,,,,,,,,,,,28,,1,,,,50,,2,,,,35,,3,,,,,,,,,,,,1,,8,,,,,,7,2,2,,4,,,1,,,4,,,5,,,,,2,,,,,2,20,,,1,,,18,,,,,185,2,12542,124961,,,,1,2,2,,11,,149,,,11,,6,,1,,12,,,,4,13,,3,4,,11,,,,2,,1,,12,,,,,,2,,1,,5,1,,,1,2,,1,,,,,,,,,,,,,,,2,,,,,,,,,
,1285,1351,1208,,,,,,,,,,,8,,,,,,62,,1,,,,24,,,2,,,,,,,,,,,2,,1,,,,,,2,6,,,,,,,,,,,,16,,,,,,,,,,,13,,,2,,,,,2,,,123,2,12542,124961,,,,1,,,,1,,76,,,,,6,,,,,,,1,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,1305,1363,1243,,,,,,,,,1,,19,,,,,,49,,,,,,10,,,2,,,,,,,,,,,,,3,,,1,,,,1,,3,,,,,,,5,,,18,,,,4,,,,,,,13,,,5,,,2,,,,,179,2,12542,124961,,,,,,,,3,,69,,,4,,5,,,,6,,,1,,1,3,,,,,,,,9,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,
,1325,1384,1264,,,,,,,,,,2,12,,,,,,48,,,2,,,32,,,1,,1,,,,,,,,,2,,8,,,1,,,5,1,,,2,,,7,,,8,,,4,,,,1,3,,,,,,22,1,,3,,1,14,,,,,151,2,12542,124961,,,3,,,1,,3,,69,,,3,,15,,,1,9,,,,,5,1,,1,,,1,,,7,,,,,,,,,,,,,,,,1,,,7,,,,3,,,,,,,,,,,,,,,1,,,,,,,
,1345,1415,1276,,,,,,,,1,,,10,,,,,,31,,2,,,,14,,,1,,,,,,,,,,,1,,2,,,,,,,6,,,,,,,,,2,,,15,,,,3,,,,,,,12,2,,2,,,6,,,,,223,2,12542,124961,,,,,,1,,2,,78,,,64,,11,1,,,6,,,,,,1,,5,,,3,,,4,,,,10,,,,,,,,1,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,1365,1462,1286,,,,,,,,1,,,11,,,,,,46,,2,,,,3,,,,,,,,,,,,,,,,2,,,,,,2,4,,,,,,,,,2,,,16,,,,,,,,,,,10,1,,,1,,3,,9,,,235,2,12542,124961,,,,,,,,4,,73,,,6,,3,,,,2,,,1,,1,3,,4,,,3,,,4,,,,6,,,,,,3,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,1383,1490,1302,,2,,,,,,,,,9,,,,,,54,,2,,,,7,,,3,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,25,,,,7,,,,,,,24,,,2,,,3,,,,,233,2,12542,124961,,,,,,1,,37,,26,,,4,,4,,,,2,,,6,,1,,,8,,,2,,,,,,,16,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1400,1505,1318,,,,,,,,2,2,,23,,,,2,,68,,1,,,,13,,,,,,,,,,,,,,4,,6,,,1,,,3,2,,,,,,1,,,6,,,7,3,,,3,8,1,,,,,22,1,,1,,,14,,,,,460,2,12542,124961,,,,,,1,,23,,75,,,2,,5,,,,5,,,2,,1,1,,1,,1,2,,,6,,1,,13,,,,,,2,,1,,10,,,,,2,,,,,,1,,5,,,,,,,,,,1,,,,,,,2,
,1418,1523,1328,,,,,,,,,2,,15,,,,,,46,,2,,,,2,,,1,,,,,,,,,,,,,2,,,1,,,7,2,,,,,,,,,5,,,12,,,,,,,,,,,7,2,,1,,,,,,,,117,2,12542,124961,,,,,,,,24,,53,,,3,,4,,,1,6,,,,,,1,,8,,,9,,,3,,,,16,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1435,1549,1336,,3,,,,,,1,1,,10,,,,,,55,,3,1,,,15,,,,,,,,,,,,,,1,,10,,,,,,6,,,1,,,,2,,,5,,,12,,,,5,,,,,,,14,,,1,,,,,1,,,417,2,12542,124961,,,,,,,,6,,38,,,5,,3,,,4,5,,,,,2,4,,,,,11,,,2,,,,1,,,,,,2,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,1452,1577,1344,,,,,,,,,,,23,,,,,,53,,,,,,9,,,2,,,,,,,,,,,1,,5,,,,,,2,3,,,,,,,,,1,,,15,,,,,,,,,,,10,,,,,,,,,,,170,2,12542,124961,,,,,,3,,6,,60,,,,,10,,,,,,,1,1,,2,,2,,,6,,,2,,,,3,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1461,1594,1347,,,,,,,,,1,,9,,,,,,33,,3,,,1,10,,1,,1,,,1,,,,,,,,,10,,,1,,,3,2,,1,,,,2,,,6,,,8,1,,,3,,,,3,,1,21,,,11,,,1,,,,,192,2,12542,124961,,,,,1,1,,29,,36,,,3,,16,,,,4,,,,,1,3,1,1,,4,1,,,,,,,4,,,,,,1,,1,,2,,,2,1,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,1,
,1470,1600,1362,,,,,,,,1,,,13,,,,,,47,,3,,,,7,,2,,,,,,,,,,,,,,6,,,,,,1,,,,,,,3,,,10,,,13,1,,,2,,,,,,,10,,,10,,,2,,1,,,387,2,12542,124961,,,,,,,,14,,52,,,4,,7,,,1,,,,,,1,,,5,,1,7,,,2,,,,,,2,,,,1,,1,,3,,,,,2,,,,1,,,,3,,,,,,,,,,,,,,,,,1,
,1489,1611,1387,,,,,,,,,,,17,,,,,,42,,3,,,,20,,,2,,,,,,,,,,,,,4,,,,,,3,3,,,,,,,,,11,,,24,,,,6,,,,,,,7,1,,3,,,,,,,,628,2,12542,124961,,,,,,1,,4,,39,,,4,,5,,,,1,,,2,2,,2,,4,,,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1508,1629,1405,,,,,,,,,,,16,,,,,,53,,5,,,,21,,,,,,,,,,,,,,1,,2,,,,,,3,2,,,2,,,,,,7,,,17,,,,2,,,,,,,7,,,1,,,,,,,,406,2,12542,124961,,,,,,1,,6,,25,,,7,,9,,,,5,,,5,,3,2,,9,,,9,,,2,,,,3,,,,,,4,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,1527,1652,1420,,,,,,,,,,,21,,,,,,33,,3,,,,26,,,,,,,,,,,,,,1,,3,,,,,,2,,,,,,,,,,5,,,9,,,,6,,,,,,,10,,,2,,,,,,,,273,2,12542,124961,,,,,,,,10,,60,,,1,,4,,,,3,,,3,,,,,5,,,11,,,1,,,,2,,1,,,,1,,1,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,1546,1681,1432,,,,1,,,,1,1,,23,,,,,,41,,2,1,,,15,,,4,,,,,,,,,,,,,6,,,,,,5,1,,1,,,,2,,,25,,,9,1,,,1,,,2,,,1,17,1,,1,,,1,,,,,560,2,12542,124961,,,,,,1,,7,,28,,,6,,6,,,,4,1,,4,,,,,3,,4,16,,,,,,,,,,,,,,,2,,,,,,,3,,,,1,,,,1,,,,,,,,,,1,,,,,,,,
,1571,1704,1455,,,,,,,,,1,,14,,,,,,68,,12,,,,17,,,,,,,,,,,,,,,,6,,,,,,,1,,,1,,,,,,1,,,16,,,,10,,,,,,,14,,,,,,,,2,,,364,2,12542,124961,,,,,,,,6,,32,,,3,,5,1,,,1,,,1,,,3,,6,,,3,,,2,,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,
,1602,1726,1476,,,,,,,,,,,25,,,,,,57,,3,,,,16,,,,,,,,,,,,,,,,12,,,,,,2,2,,,,,,2,,,2,,,18,,,,,,,,,,,15,,,,,,,,,,,242,2,12542,124961,,,,,,3,,10,,48,,,5,,5,,,2,4,,,,,,5,,2,,,1,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,1634,1766,1493,,,,,,,,,2,,22,,,,,,34,,1,,,,4,,,1,,,,,,,,,,,,,7,,,,,,,3,,,,,,,,,,,,18,,,,5,,,,,,,10,,,2,,,80,,2,,,392,2,12542,124961,,,,,,2,,16,,62,,,7,,11,,,2,2,,,2,,,,,8,,,7,,,2,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,1665,1820,1508,,,,,,,,2,,,19,,,,,,56,,6,,,,7,,,2,,,,,,,,,,,,,8,,,,,,,2,,,,,,,,,2,,,21,,,,2,,,,,,,18,,,1,,,,,1,,,552,2,12542,124961,,,,,,5,,12,,36,,,1,2,4,,,1,1,,,,,,1,,3,,2,7,,,8,,,,,,,,,,,,,,,,,,,2,,,1,,,,,5,,,,,,,,,,,,,,,,,,
,1696,1883,1521,,1,,,,,,,,,24,,1,,,,26,,,,,,11,,,,,,,,,,,,,,2,,2,,,,,,2,1,,,,,,,,,,,,18,,,,3,,,,,,,13,,,6,,,,,2,,,153,2,12542,124961,,,,,,,,12,,76,,,,,14,,,1,,,,2,1,,3,,1,,,5,,,4,,,,,,,,,,2,,,,3,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
,1712,1916,1528,,,,,,,,,,,50,,,,,,46,,1,,,,14,,,,,,,,,,,,,,4,,15,,,1,,,2,,,1,2,,1,3,,,9,,,15,1,,,4,,,,,,1,30,,,2,,,2,,1,,,204,2,12542,124961,,,,,1,5,,22,,127,,1,1,,15,,,,5,,,,2,2,2,,,,3,,,,,,,,5,,,2,,,4,,1,1,,,,1,,1,,2,,,,1,1,,,,,,,,,,,,,,,,,,,
,1727,1922,1551,,,,,,,,,,,27,1,,,,,27,,1,,,,8,,,1,,,,,,,,,,,,,11,,,,,,2,3,,1,,,,,,,1,,,13,,,,,,,,,,,13,,,1,,,,,1,,,429,2,12542,124961,,,,,,3,,10,,71,,,2,,6,,,1,3,,,,,,2,,,,,7,,,4,,,,1,,,,,,,,2,,1,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,
,1759,1940,1592,,,,,,,,,,,8,,,,,,39,,2,,,,89,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,16,,,11,,,,,1,,,217,2,12542,124961,,,,,,,,3,,26,,,3,,7,,,,1,,,3,,,2,,,,,6,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1791,1962,1622,,,,,,,,,,1,14,,,,,,53,,1,,,1,7,1,,,,,,,1,,,,,,1,,19,,,,,,1,,,1,1,,,,,,5,,,15,2,,,4,,,,,,,21,,,2,,,1,,,,,113,2,12542,124961,,,,,,,,17,,66,,,,,6,,,2,3,,,2,,1,1,,,,2,7,,,9,,,,,2,,,,,2,,1,,1,,,,,,,,,,,,,4,1,,,,,,,,,,,,,1,,,,
,1823,1987,1642,,1,,,,,,,,,31,,,,,,24,,1,,,,6,,,,,,,,,,,,,,12,,13,,,,,,,,,1,,,,,,,,,,14,,,,3,,,,,,,13,,,,1,,,,,,,336,2,12542,124961,,,,,,9,,10,,61,,,4,,6,,,1,2,,,,,,,,,,,7,1,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,,
,1854,2027,1663,,,,,,,,,,,23,,,,,,23,,,,,,10,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,5,,,20,,,,2,,,,2,,,13,,,,,,,,2,,,223,2,12542,124961,,,,,,8,,17,,75,,,2,,7,,,,,,5,1,,,2,,1,,,2,,,3,,,,1,,,,,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,
,1885,2057,1704,,,,,,,,1,,,62,,,,,,20,,,1,,,9,,,2,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,1,,,17,,,,2,,,,,,,10,,,,,,,,,,,103,2,12542,124961,,,,,,3,,7,,57,,,4,,2,,,,3,,,,,,2,,2,,,10,,,1,,,,1,,,,,,,,,,1,,,,,47,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1914,2069,1767,,,,,,,,1,,,32,,,,,,23,,1,,,,4,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,,6,,,1,,,,,,,,97,2,12542,124961,,,,,,1,,16,,101,,,,,3,,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,1944,2084,1826,,,,,,,,,,,26,,,,2,,31,,1,,,,13,,,1,,,,,,,,,,,1,,1,,,,,,,2,,,,,,1,,,4,,,17,,,,1,,,,,,,9,,,,,,,,2,,,189,2,12542,124961,,,,,,1,,4,,80,,,1,,11,,,,1,,,1,,,3,,1,,,6,,,,,,,1,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,
,1975,2099,1875,,,,,,,,,,,59,,,,,,25,,4,,,,12,,,,,,,,,,,,,,4,,2,,,2,,,,,,,,,,1,1,,,,,11,,,,3,,,,,,,7,,,,,,,,3,,,83,2,12542,124961,,,,,,3,,4,,77,,,3,,5,,,,,,,1,,,3,,3,,,2,,,2,,,,3,,,,,,,,,,3,,,,,12,,,,,,,,,,,,,,,,,,2,,,,,,,,
,2005,2122,1911,,1,,,,,,,,,40,,,,1,,19,,1,,,,9,,,2,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,3,,,13,,,,,,,,,,,15,,,,,,,,9,,,335,2,12542,124961,,,,,,6,,7,,75,,,2,,8,,,,2,,,,,,2,,,,,10,,,3,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,2142,1927,,,,,,,,2,,,38,,3,1,,,53,,9,,,2,19,1,,,,,,,,,,1,,,1,,1,,,,,,2,1,1,3,11,,,3,,,17,,,11,,102,,5,,,,,,1,19,,,3,,,,,,,,158,2,12542,124961,,,,,,8,,10,1,132,,,4,,16,,,1,7,2,,1,,1,,,,,4,,,,,,,,6,,,1,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,2040,2155,1951,,,,,,,,,,,43,,,,,,70,,11,,,,18,,,9,,,,,,,,,,,1,,3,,,,,,2,,,5,,,,,,,13,,,14,,,,,2,,2,,,,18,,,2,,,1,,,,,214,2,12542,124961,,,,,,5,,10,1,121,,,2,,7,,,1,4,,,9,,,3,,1,,,3,,,2,,,,,,,,1,,1,,2,,,,1,,,4,,,,,,,,3,,2,1,,,,,,,,,,,,,,,
,2081,2187,1990,,,,,,,11,,,,9,,,,,,56,,,2,,,,,,2,,,,,,,,,,,2,,14,,,1,,,,,,1,,,,1,,,1,,,12,,,,,,,,,,,5,,,,,,1,,,,,277,2,12542,124961,,,,,,4,,13,,76,,,4,,2,,,,3,,,5,,1,2,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,2121,2224,2017,,,,,,,,,,,97,,,,,,20,,1,,,,14,,,,,,,,,,,,,,1,,3,,,,,,2,,,2,,,,,1,,1,,,14,,,,5,,,,,,,8,,,,,,,,,,,106,2,12542,124961,,,,,,2,,4,,58,,,2,,,,,,5,,,3,,4,2,,3,,,,,,5,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2203,2321,2056,,,,,,1,,,,,16,,,,,,48,,3,,,,6,,,2,,,,,,,,,,,,,,,,,,,1,,,5,,,,2,,,7,,,16,1,,,5,,,,,,,10,,,,,,1,,,,,164,2,12542,124961,,,,,,,,3,,70,,,5,,12,,,,5,,,4,,,,,1,,3,,,,3,,,,3,,,,,,,,1,,5,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,
,2266,2361,2148,,,,,,,,,,,14,,,,,,62,,3,,,,11,,,,,,,,,,,,,,,,1,,,,,,4,1,,1,,,,2,,,1,,,15,,,,3,,,,,,,12,,,,,,,,2,,,236,2,12542,124961,,,,,,3,,8,,63,,,3,,7,,,,6,,,3,,4,3,,1,,,,,,5,,,,4,,,,,,,,4,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,2322,2413,2219,,,,,,,,,2,,24,,,,1,,95,,6,,,,27,,,15,,,,,,,,,,,,,1,,1,,,,,,,2,,,,2,,,15,,,16,2,,,8,,,,,,,9,,,,,,,,,,,314,2,12542,124961,,,,,,6,,9,,99,,,2,,5,,,3,6,,,6,,,4,,1,,,,,,1,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,5,,,,,,,,,,2,,,,,,,,
,2349,2457,2238,,2,,,,,,,1,,30,,,,1,,37,,4,,,,5,,,1,,,,,,,,,,,2,,,,,,,,1,,,,1,,,2,1,,,,,13,,,,1,,,,,,,14,1,,,,,,,1,,,501,2,12542,124961,,,,,,1,,7,,52,,,,,11,,,2,,,,4,,2,,,3,,,8,,,,,,,7,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2363,2480,2245,,,,,,,,,,,34,,1,,,,56,,4,,,1,15,,,,,,,,,,,,,,1,,3,,,1,,,1,2,,4,6,,,3,,,7,,,10,2,,,3,,,,,,3,23,,,,,,2,,,,,164,2,12542,124961,,,,,1,6,,12,,120,,,2,,22,,,1,9,,,,,1,5,,3,,7,,2,,,,,,5,,,,,,4,,5,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,2375,2486,2269,,,,,,,,1,,,23,,,,,,52,,3,,,,4,,,1,,,,,,,,,,,1,,1,,,,,,,2,,4,1,,,,,,1,,,16,,,,3,,,,1,,,8,,,,,,,,,,,113,2,12542,124961,,,,,,4,,6,,54,,,1,,4,,,2,,,,1,,1,5,,2,,,6,,,2,,,,4,,,,,,,,1,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,2525,2348,,,,,,,,,,,21,,,,,,48,,9,,,,9,,,1,,,,,,,,,,,,,5,,,1,,,,2,,3,,,,2,,,7,,,12,,,,,,,,,,,14,,,,,,,,1,,,196,2,12542,124961,,,,,,5,,6,,70,,,2,,8,,,,2,,,5,,,1,,1,,,9,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,
,2450,2559,2375,,,,,,,,,,,16,,,,30,,41,,3,,,,8,1,,3,,,,,,,,,,,3,,,,,1,,,2,,,,,,,,,,,,,6,,,,6,,,,,,,14,,,,,,,,3,,,433,2,12542,124961,,,,,,2,,5,,59,,,4,,3,,,2,2,,,2,,1,1,,1,,,12,,,4,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2474,2593,2388,,,,,,,,,,,28,,,,,,60,,1,,,,5,,,,,,,,,,,,,,3,,,,,,,,1,,,1,,,,,,,,,,13,,,,3,,,,,,,10,,,,,,,,,,,62,2,12542,124961,,,,,,6,,8,,73,,,5,,6,,,,3,,,3,,,2,,1,,1,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2526,2640,2429,,,,,,,,1,,,46,,1,,,,81,,1,,,,9,,,,,,,,,,,,,,,,12,,,,,,2,,,2,,,,1,,,12,,,8,1,,,,,,,,,,10,,,4,,,,,3,,,85,2,12542,124961,,,,,,3,,4,,133,,,5,,7,,,,2,,,2,,,,,10,,,4,,,2,,,,,,,,,,2,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,
,2553,2662,2446,,2,,,,,1,1,,,37,,,,1,,52,,3,,,,9,,,1,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,2,,,7,,,,8,,,,,,,14,,,,,,,,,,,156,2,12542,124961,,,,,,5,,13,,49,,,3,,4,2,,,3,,,3,,1,2,,1,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2580,2687,2462,,,,,,,,,,,19,,,,,,56,,4,,,,5,,,,,,,,,,,,,,1,,8,,,,,,2,2,,,3,,,1,,,2,,,10,,,,2,,,,,,,,,,1,,,,,,,,88,2,12542,124961,,,,,,2,,13,,72,,,,,7,,,,2,,,1,,,1,,2,,1,,,,2,,,,2,,,,,,1,,7,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,1,
,2608,2722,2474,,,,,,,,1,,,9,,,,,,8,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,14,,,,2,,,,,,,6,,,,,,,,,,,74,2,12542,124961,,,,,,,,,,22,,,2,,3,,,,,,,1,,,1,,,,,144,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2621,2743,2478,,,,,,,,,2,,36,,,,,,67,,1,,,,11,,,,,,,1,,,,,,,,,,,,,,,4,,,,2,,,9,,,5,,,52,,,,6,,,,,,3,23,,,,,,,,,,1,239,2,12542,124961,,,,,,,,15,,132,,,6,,11,,,1,5,,,2,,1,8,,2,,10,,,,1,,,,6,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,2638,2749,2504,,,,,,,,,,2,14,,,,,,62,,2,,,,6,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,6,,,3,2,,,,,,,,,,5,,,,,,,,,,,88,2,12542,124961,,,,,,1,,6,,97,,,4,,10,,,,,,,1,,,2,,2,,,3,,,1,,,,5,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
,2707,2811,2570,,,,,,1,,,,,4,,,,,,59,,2,,,,2,,,1,,,,,,,,,,,1,,3,,,,,,1,,,7,,,,,,,2,,,16,,,,1,,,,,,,7,,,,,,,,,,,52,2,12542,124961,,,,,,2,,8,,81,,,,,4,,,,7,,,1,,,1,,2,,1,5,,,3,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,
,2776,2918,2603,,,,,,,,2,,,1,,,,,,44,,1,,,,12,,,2,,,,,,,,,,,,,,,,,,,2,,5,6,,,,1,,,6,,,26,,,,1,,,,,,,14,,,,,,2,,1,,,99,2,12542,124961,,,,,,,,10,,67,,,4,,8,,,,13,,,,,,6,,1,,1,25,,,1,,,3,3,,,,,,,,2,,1,,,,,3,,,1,,,,,11,,,,,6,,,,,3,2,,,,,,1,
,2808,2956,2642,,,,,,,,,,,26,,,,,,23,,,,,,18,,,1,,,,,,,,,,,3,,,,,,,,2,,,,,,,2,,,1,,,13,,,,3,1,,,,,,18,,,,,,,,1,,,584,2,12542,124961,,,,,,1,,3,,88,,,,,11,,1,,8,,,,,1,3,,,,,8,,,2,,,,8,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,2838,2969,2706,4,,,,,,,,,,8,,,,,,44,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,1,4,,3,,,,3,,,1,,,10,,,,,,,,,,,8,,,,,,,,,,,48,2,12542,124961,,,,,,5,,2,,116,,,1,,2,,,,4,,,,,1,4,,1,,,4,,,2,,,,,,,,,,,,1,,1,,,,,4,,,6,,,,,,,,,,,,,,1,,,,,,,,1,
,2869,2983,2762,,,,,,,,1,,,11,,,,,,50,,,1,,,6,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,8,,,1,,,,,,,,27,,,,,,,,2,,,1004,2,12542,124961,,,,,,,,1,,76,,,5,,16,,,,17,,,,,,11,,,,1,18,,,3,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2899,3006,2802,,,,,,,,,,,9,,,,,,113,,,,,,13,,,7,,,,,,,,,,,2,,,,,2,,,4,5,,2,,,,,,,3,,,13,,,,7,,,,,,,11,,,,,,,,1,,,76,2,12542,124961,,,,,,2,,2,3,37,,,6,,3,,,,,,,,,,5,,,,,7,,,3,,,,1,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,2914,3018,2818,,,,,,,,,1,,19,1,,,,,105,,1,,,1,11,,,1,,,,,,,,,,,3,,,,,,,,15,2,2,,1,,,5,,,5,,,2,,,,1,2,,,,,11,15,,,1,,,,,,,,53,2,12542,124961,,,,,,,,3,,47,,,6,,13,,,,7,,,4,,2,,,1,,14,5,,,1,,,2,4,,,,,,1,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,1,,,,,,,
