"","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Asystasia","Betula","Brassicaceae","Campanulaceae","Cannabaceae.Ostrya.type","Caryophyllaceae","Cichorioideae","Commelina.benghalensis","Convolvulaceae..type.1.","Convolvulaceae..type.2.","Cyperaceae","Dicliptera","Dipsaceae.type","Dodonaea.viscosa","Dracaena","Euphorbia.tuckeyana","Fabaceae","Faidherbia","Ficus..type.1.","Ficus..type.2.","Frankenia.type","Hedera","Hibiscus","Ilex","Indeterminable","Juniperus","Lamiaceae","Lavandula..type.1.","Lavandula..type.2.","Lotus","Morella.Corylus.type","Myrtaceae.type","Phaseolus.type","Pinus","Plantago","Poaceae","Poaceae..Cerealia.","Polygalaceae","Portulacaceae..type.1.","Portulacaceae..type.2.","Primulaceae","Quercus","Ranunculaceae","Rubiaceae","Scrophulariaceae.type","Urticaceae","Zea.mays","Cal_yrs_BP","min","max"
"1",0,145,2,0,64,0,0,5,0,0,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,9,0,0,0,2,0,0,51,0,1,0,2,0,0,2,0,0,0,1,-69,NA,NA
"2",0,21,0,0,57,0,0,12,0,0,1,9,0,0,0,191,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,17,1,0,0,11,0,0,0,0,0,0,3,-55,NA,NA
"3",0,42,0,1,62,0,0,13,0,0,0,22,0,0,0,99,0,0,0,0,0,2,0,0,4,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,54,0,1,0,2,0,0,0,0,0,0,0,-37,NA,NA
"4",0,47,1,0,88,0,0,26,0,0,0,25,1,0,1,61,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,1,0,10,0,0,0,0,0,0,40,0,1,4,9,0,0,0,0,0,0,1,-23,NA,NA
"5",0,71,2,3,51,1,0,53,0,0,1,28,0,0,0,78,0,0,0,0,0,2,0,0,3,1,0,0,0,3,0,0,0,2,0,0,0,1,1,0,22,2,0,2,0,0,0,0,0,0,0,1,-4,NA,NA
"6",0,65,0,0,81,0,0,46,0,0,0,28,0,0,0,65,0,0,0,0,1,0,0,0,6,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,19,0,0,5,1,0,0,0,0,0,0,1,78,NA,NA
"7",0,65,0,0,73,0,0,37,0,0,0,31,0,0,0,61,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,16,0,0,7,0,0,0,0,0,0,0,1,188,NA,NA
"8",0,78,0,0,59,1,0,26,0,0,0,28,0,0,0,77,0,0,0,0,2,1,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0,0,295,NA,NA
"9",0,82,0,0,63,0,0,28,0,0,0,24,0,0,0,80,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,3,405,NA,NA
"10",0,113,0,0,32,0,0,29,0,0,0,14,0,0,0,102,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,1,1,512,NA,NA
"11",0,126,0,0,41,0,0,38,0,0,0,11,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,630,NA,NA
"12",0,87,0,0,13,0,0,15,0,0,0,15,0,0,0,101,2,0,0,0,6,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,1,3,0,39,1,905,NA,NA
"13",0,64,0,0,14,0,0,9,0,0,0,5,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,40,2,1286,NA,NA
"14",0,13,0,0,11,0,0,3,0,0,0,2,0,0,1,14,0,0,0,0,0,0,0,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,45,0,1702,NA,NA
"15",0,11,0,0,4,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,70,0,2139,NA,NA
"16",0,5,0,0,1,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,2,0,62,0,0,0,0,0,0,0,0,0,95,0,2419,NA,NA
"17",0,7,0,0,31,0,0,3,0,0,5,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,1,1,0,0,4,7,53,0,0,0,0,0,0,0,0,0,104,0,2639,NA,NA
"18",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,14,11,0,0,0,0,0,0,0,0,0,94,0,2875,NA,NA
"19",0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,1,0,0,1,2,39,0,0,0,0,1,0,0,0,0,72,0,3117,NA,NA
"20",3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,1,3,0,0,2,4,39,0,0,0,0,0,0,0,0,2,92,0,3358,NA,NA
"21",0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,1,0,1,0,0,88,0,3601,NA,NA
"22",0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,47,0,3828,NA,NA
"23",0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,0,4075,NA,NA
"24",0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,39,0,4317,NA,NA
"25",0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,6,20,0,0,0,0,0,0,0,0,0,33,0,4583,NA,NA
"26",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,1,12,0,0,0,0,0,0,0,0,0,37,0,5160,NA,NA
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,29,0,5990,NA,NA
"28",1,2,0,0,8,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,3,2,11,0,0,0,0,0,0,0,0,0,38,0,6717,NA,NA
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7371,NA,NA
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666,NA,NA
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7872,NA,NA
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8048,NA,NA
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8149,NA,NA
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8234,NA,NA
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8324,NA,NA
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8445,NA,NA
"37",0,4,0,0,5,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,2,0,1,0,0,15,0,8574,NA,NA
"38",0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,16,0,0,0,0,0,1,0,0,0,19,0,8705,NA,NA
"39",1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,40,0,8832,NA,NA
"40",0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,22,0,8962,NA,NA
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9100,NA,NA
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9245,NA,NA
"43",1,7,0,0,14,0,0,2,0,1,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,18,36,0,0,0,0,0,0,0,0,0,46,0,9389,NA,NA
"44",0,31,1,0,18,0,0,1,0,0,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,1,3,56,0,0,0,0,0,0,0,0,0,8,0,9536,NA,NA
"45",0,5,0,0,17,0,1,4,1,1,0,1,0,0,0,11,0,1,1,0,0,0,0,1,0,1,0,0,0,7,0,1,0,0,0,2,0,0,5,2,20,0,0,0,0,0,0,1,0,0,19,0,9692,NA,NA
