"","Pinus.canariensis","Ilex","Ericaceae","Morella.faya","Picconia.Olea.type","Prunus","Viburnum","Juniperus","Phoenix.canariensis","Salix.canariensis.","Argyranthemum.type","Artemisia","Chamaecytisus.type","Cistus","Convolvulus","Echium.","Euphorbia","Globularia","Hypericum","Jasminum","Kleinia.type","Periploca","Plantago","Rhamnus","Rumex","Sideritis","Sonchus.type","Teline.type.cf.","Aeonium","Campanula.type","Carduus.type","Lotus","Vicia.Medicago.type","Papaver.type","Primula.type","Reseda.type","Semele.cf.","Apiaceae","Asteraceae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiaceae","Rubiaceae","Urticaceae","Poaceae","Poaceae.cerealia.type","Polycarpaea.type","Davallia","Ophioglossum","Polypodium","Pterydophyta.undiff.","Cal_yrs_BP","min","max"
"1506",0.016983016983017,0,0,0.275724275724276,0,0,0.001998001998002,0.023976023976024,0.021978021978022,0.031968031968032,0.016983016983017,0.016983016983017,0,0,0,0,0,0.00999000999000999,0,0,0,0.001998001998002,0.031968031968032,0.00499500499500499,0.0849150849150849,0,0.167832167832168,0.001998001998002,0,0,0,0.00499500499500499,0,0,0,0,0,0,0.0949050949050949,0.021978021978022,0,0,0,0.00699300699300699,0.158841158841159,0,0,0,0.001998001998002,0,0,1393,NA,NA
"1536",0.0223517978620019,0,0,0.0310981535471331,0,0,0,0.0379008746355685,0.00583090379008746,0,0.0505344995140913,0,0,0,0.0155490767735666,0,0,0,0,0,0.10689990281827,0,0.0155490767735666,0,0.00971817298347911,0.0379008746355685,0.0719144800777454,0.0592808551992225,0,0,0,0,0.0126336248785228,0,0.00291545189504373,0,0,0,0.0534499514091351,0,0.00583090379008746,0.0126336248785228,0,0,0.0534499514091351,0.361516034985423,0.00291545189504373,0.0087463556851312,0.0184645286686103,0,0.00291545189504373,1446,NA,NA
"1566",0.00397219463753724,0,0.00198609731876862,0.00397219463753724,0,0.00397219463753724,0,0.012909632571996,0.00198609731876862,0.00198609731876862,0.0268123138033764,0,0.00397219463753724,0.00198609731876862,0.00397219463753724,0,0,0,0,0.00397219463753724,0.0913604766633565,0.00198609731876862,0.00198609731876862,0.00397219463753724,0.00794438927507448,0.00595829195630586,0.205561072492552,0.00794438927507448,0,0.12214498510427,0,0.0188679245283019,0.00198609731876862,0,0,0,0.00397219463753724,0.00198609731876862,0.0436941410129096,0.00397219463753724,0.00794438927507448,0,0.00397219463753724,0,0.213505461767627,0.169811320754717,0,0,0.00397219463753724,0.00198609731876862,0.00397219463753724,1537,NA,NA
"1596",0.00572519083969466,0,0.00286259541984733,0.00286259541984733,0,0,0,0.0209923664122137,0.00572519083969466,0,0.0400763358778626,0,0.00286259541984733,0,0.0104961832061069,0,0.0238549618320611,0,0,0.00572519083969466,0.0553435114503817,0,0.00286259541984733,0.00286259541984733,0.00286259541984733,0,0.0209923664122137,0.0104961832061069,0,0,0.0314885496183206,0,0,0.00763358778625954,0,0.00286259541984733,0,0,0.193702290076336,0,0.0162213740458015,0,0.00286259541984733,0.00763358778625954,0.137404580152672,0.33969465648855,0,0,0.0181297709923664,0.0104961832061069,0.0152671755725191,1570.5,NA,NA
"1626",0.00363967242948135,0,0.00363967242948135,0,0,0,0,0.00818926296633303,0.0236578707916288,0.0200181983621474,0.0236578707916288,0,0,0,0.0200181983621474,0,0,0,0,0,0.0509554140127389,0,0,0,0,0,0,0,0.00363967242948135,0,0.0236578707916288,0,0,0,0,0,0,0,0.212010919017288,0.00363967242948135,0.0200181983621474,0,0,0,0.282074613284804,0.212010919017288,0,0.00363967242948135,0.0427661510464058,0.0318471337579618,0.010919017288444,1600,NA,NA
"1655",0.00564440263405456,0,0.00846660395108184,0.00564440263405456,0,0,0,0.0442144873000941,0.0357478833490122,0.00282220131702728,0.0178739416745061,0,0,0,0.00846660395108184,0,0.00282220131702728,0,0,0,0.083725305738476,0,0.00282220131702728,0,0,0,0.0122295390404516,0.00282220131702728,0,0,0.00282220131702728,0,0,0,0,0,0,0,0.205079962370649,0,0.00564440263405456,0,0,0.00282220131702728,0.29444967074318,0.19379115710254,0,0.00564440263405456,0.0282220131702728,0.019755409219191,0.00846660395108184,1629,NA,NA
"1685",0,0.00277520814061055,0.00277520814061055,0.00277520814061055,0,0,0,0.0518038852913969,0.0555041628122109,0.00277520814061055,0.0231267345050879,0,0.00832562442183164,0,0.00832562442183164,0.00277520814061055,0,0,0,0,0.0407030527289547,0,0,0,0,0,0,0,0,0,0.028677150786309,0,0.00277520814061055,0,0,0,0,0,0.20259019426457,0.00277520814061055,0.0120259019426457,0.00277520814061055,0.00555041628122109,0,0.258094357076781,0.206290471785384,0,0.00832562442183164,0.0342275670675301,0.0212765957446809,0.0129509713228492,1658,NA,NA
"1715",0.00805729632945389,0,0.0044762757385855,0.0044762757385855,0,0,0,0.0250671441360788,0.0295434198746643,0,0.104744852282901,0,0.0044762757385855,0,0.0170098478066249,0,0.0044762757385855,0,0,0,0.0205908683974933,0,0,0,0.0044762757385855,0,0.00805729632945389,0,0,0,0,0,0,0,0,0,0,0,0.192479856759176,0,0.0205908683974933,0.0044762757385855,0,0,0.23455684870188,0.209489704565801,0,0,0.0555058191584602,0.0107430617726052,0.0367054610564011,1687,NA,NA
"1745",0,0,0.00294117647058824,0.0137254901960784,0,0,0,0.0519607843137255,0.0215686274509804,0.0196078431372549,0.0382352941176471,0,0.0196078431372549,0,0.0245098039215686,0,0,0,0,0,0.0107843137254902,0,0.0107843137254902,0.00294117647058824,0.00294117647058824,0,0.0107843137254902,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0.292156862745098,0.00294117647058824,0.0166666666666667,0.0137254901960784,0,0,0.3,0.12156862745098,0,0,0.00588235294117647,0,0.0137254901960784,1717,NA,NA
"1775",0.00284900284900285,0,0.00284900284900285,0.0246913580246914,0,0,0.00474833808167142,0.0655270655270655,0.0246913580246914,0.00759734093067426,0.0417853751187085,0.00284900284900285,0.00759734093067426,0,0.00474833808167142,0,0,0.0218423551756885,0,0,0.0294396961063628,0,0.0199430199430199,0,0,0,0.0142450142450142,0,0,0,0.0123456790123457,0,0.00284900284900285,0,0,0,0,0,0.263057929724596,0.0123456790123457,0.0123456790123457,0,0.00474833808167142,0,0.301994301994302,0.0683760683760684,0,0,0.037037037037037,0,0.00949667616334283,1746,NA,NA
"1804",0,0,0,0.00479846449136276,0,0,0,0.081573896353167,0.0431861804222649,0.00479846449136276,0.0153550863723608,0,0.0124760076775432,0,0,0,0,0,0,0,0.0355086372360845,0,0.00287907869481766,0,0,0,0.00479846449136276,0,0,0,0,0,0,0,0,0,0,0.00479846449136276,0.12763915547025,0.00479846449136276,0,0,0.00287907869481766,0,0.562380038387716,0.0508637236084453,0,0,0.0268714011516315,0.00959692898272553,0.00479846449136276,1775,NA,NA
"1834",0,0,0.00193236714975845,0.00579710144927536,0,0.00193236714975845,0.00579710144927536,0.0502415458937198,0.0318840579710145,0.00772946859903382,0.00193236714975845,0,0.00193236714975845,0,0.00193236714975845,0,0,0,0,0,0.0135265700483092,0,0.00772946859903382,0,0,0,0.0115942028985507,0,0,0,0,0,0,0,0,0,0,0.00193236714975845,0.072463768115942,0.0115942028985507,0.00193236714975845,0,0.00966183574879227,0,0.657971014492754,0.063768115942029,0,0.00193236714975845,0.0328502415458937,0.00193236714975845,0,1804,NA,NA
"1864",0,0,0.00181653042688465,0,0,0,0.00181653042688465,0.0426884650317893,0.0199818346957312,0.00181653042688465,0.00454132606721163,0,0,0,0.00181653042688465,0,0,0,0,0,0.0199818346957312,0,0.00181653042688465,0,0,0,0.00454132606721163,0,0,0,0,0,0.00181653042688465,0,0,0,0,0,0.0381471389645777,0,0.0136239782016349,0,0.00908265213442325,0,0.707538601271571,0.0354223433242507,0,0.0036330608537693,0.0681198910081744,0.0136239782016349,0.00817438692098093,1839,NA,NA
"1924",0,0,0.00725952813067151,0.00907441016333938,0,0.00453720508166969,0.0163339382940109,0.101633393829401,0.0235934664246824,0,0.0117967332123412,0,0.00453720508166969,0,0.00272232304900181,0,0,0,0.00453720508166969,0,0.0471869328493648,0,0.00725952813067151,0,0,0,0.00453720508166969,0,0,0,0,0,0.00272232304900181,0,0,0,0,0.00272232304900181,0.0281306715063521,0.00272232304900181,0.00907441016333938,0.00272232304900181,0.0208711433756806,0,0.586206896551724,0,0.00725952813067151,0,0.058983666061706,0,0.0335753176043557,1906,NA,NA
"1984",0,0,0.00494641384995878,0.102225886232481,0.00247320692497939,0.00247320692497939,0.00247320692497939,0.0560593569661995,0.0387469084913438,0.00247320692497939,0.00741962077493817,0,0.00494641384995878,0,0.00741962077493817,0,0,0,0.00494641384995878,0.00247320692497939,0.0156636438582028,0,0.00494641384995878,0,0,0,0.0280296784830998,0,0,0,0.00494641384995878,0.00247320692497939,0,0,0,0,0,0,0.023083264633141,0.00247320692497939,0.0131904369332234,0.00247320692497939,0.0131904369332234,0.0131904369332234,0.430338004946414,0.0280296784830998,0.00247320692497939,0.00989282769991756,0.132728771640561,0,0.033800494641385,1968,NA,NA
"2044",0.00196463654223969,0,0.0216110019646365,0.0451866404715128,0.00196463654223969,0,0,0.0569744597249509,0.0068762278978389,0,0.0216110019646365,0,0.0166994106090373,0,0.00196463654223969,0,0,0,0,0,0.0707269155206287,0,0.0216110019646365,0,0.0216110019646365,0,0.0756385068762279,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0.0451866404715128,0.0589390962671906,0.00491159135559921,0,0.00196463654223969,0,0.419449901768173,0.087426326129666,0,0.00196463654223969,0.00884086444007859,0,0.00491159135559921,2030,NA,NA
"2104",0.0069101678183613,0,0.00197433366238894,0.0848963474827246,0,0.0572556762092794,0,0.0345508390918065,0.0157946692991116,0,0.0207305034550839,0,0.0157946692991116,0,0,0,0,0,0.00888450148075025,0,0.0414610069101678,0,0,0,0.0157946692991116,0,0.0641658440276407,0,0,0,0,0,0,0.00197433366238894,0,0,0.0641658440276407,0,0.0750246791707799,0.0572556762092794,0,0.00493583415597236,0,0.0118460019743337,0.340572556762093,0.0641658440276407,0,0,0.00493583415597236,0,0.0069101678183613,2092,NA,NA
"2164",0,0,0,0.0515873015873016,0,0.00793650793650794,0.00496031746031746,0.0575396825396825,0.0357142857142857,0,0.00793650793650794,0,0.0873015873015873,0,0,0.00297619047619048,0,0,0,0,0.0734126984126984,0,0.0109126984126984,0,0.0327380952380952,0,0.0267857142857143,0,0,0,0.00793650793650794,0,0.00297619047619048,0.00496031746031746,0,0,0.00793650793650794,0,0.135912698412698,0.0188492063492063,0.00297619047619048,0,0,0,0.318452380952381,0.0922619047619048,0,0,0.00297619047619048,0,0.00496031746031746,2153,NA,NA
"2224",0.00198807157057654,0,0.00198807157057654,0.0546719681908549,0,0.0119284294234592,0.00497017892644135,0.0318091451292247,0.0159045725646123,0,0,0,0.0298210735586481,0,0.00198807157057654,0.00695825049701789,0,0,0,0,0.0457256461232604,0,0,0,0.0178926441351889,0,0.0347912524850895,0,0,0,0.0228628230616302,0,0,0,0,0,0.0139165009940358,0.00497017892644135,0.121272365805169,0.0178926441351889,0,0.00497017892644135,0,0,0.492047713717694,0.0546719681908549,0,0.00198807157057654,0,0,0.00497017892644135,2215,NA,NA
"2284",0.00198019801980198,0,0.00495049504950495,0.0346534653465347,0.00198019801980198,0.0207920792079208,0.0207920792079208,0.0534653465346535,0.00495049504950495,0.00198019801980198,0.00198019801980198,0,0.0514851485148515,0.00198019801980198,0.00198019801980198,0,0,0,0.00198019801980198,0,0.0603960396039604,0,0.00198019801980198,0.00495049504950495,0.0227722772277228,0,0.0534653465346535,0,0,0,0.0138613861386139,0,0,0,0,0,0.00693069306930693,0,0.103960396039604,0.0138613861386139,0,0,0.00198019801980198,0,0.442574257425743,0.0534653465346535,0.00198019801980198,0.00198019801980198,0.00198019801980198,0,0.00891089108910891,2275,NA,NA
"2344",0,0,0,0.0488038277511962,0,0,0.0076555023923445,0.0421052631578947,0.0985645933014354,0,0,0,0.0392344497607656,0,0.0076555023923445,0.00287081339712919,0,0,0.0296650717703349,0,0.00287081339712919,0,0.00478468899521531,0,0.00478468899521531,0,0.0248803827751196,0,0,0,0.00956937799043062,0,0,0,0,0,0,0.00287081339712919,0.0535885167464115,0.0172248803827751,0.00287081339712919,0.0076555023923445,0.00956937799043062,0.00956937799043062,0.495693779904306,0.0248803827751196,0.0124401913875598,0.00956937799043062,0.0143540669856459,0,0.0162679425837321,2335,NA,NA
"2936",0,0,0.00647548566142461,0.0499537465309898,0,0.00277520814061055,0,0.105457909343201,0.124884366327475,0.00277520814061055,0.00925069380203515,0,0.00925069380203515,0,0.0120259019426457,0.00277520814061055,0,0.00647548566142461,0.0120259019426457,0,0.00277520814061055,0,0.00925069380203515,0,0.00647548566142461,0,0.0249768732654949,0,0,0,0,0.0185013876040703,0,0,0,0.00647548566142461,0,0,0.0434782608695652,0,0,0.00647548566142461,0.00277520814061055,0.0249768732654949,0.410730804810361,0.0157261794634598,0.00647548566142461,0.0453283996299723,0.0175763182238668,0,0.0138760407030527,2887,NA,NA
"3705",0,0,0.00699300699300699,0.0201048951048951,0,0,0.0034965034965035,0.102272727272727,0.166958041958042,0,0.0104895104895105,0,0.0201048951048951,0,0,0.00699300699300699,0,0.0104895104895105,0.0104895104895105,0,0.00699300699300699,0,0.0034965034965035,0,0.0034965034965035,0,0.0611888111888112,0,0,0,0.0034965034965035,0.0034965034965035,0,0,0,0.0034965034965035,0,0,0.0480769230769231,0.0034965034965035,0,0,0,0.0515734265734266,0.313811188811189,0.00699300699300699,0.00699300699300699,0.104895104895105,0,0,0.0201048951048951,3597.5,NA,NA
"4474",0,0,0.014766201804758,0.022149302707137,0,0,0,0.0943396226415094,0.159967186218212,0,0,0,0.014766201804758,0,0.007383100902379,0.014766201804758,0,0.0508613617719442,0.0721903199343724,0.007383100902379,0.007383100902379,0,0.014766201804758,0,0,0,0.014766201804758,0,0.014766201804758,0,0,0,0,0,0,0,0,0.007383100902379,0.0360951599671862,0,0,0,0,0.0582444626743232,0.210828547990156,0,0,0.125512715340443,0,0,0.051681706316653,4299,NA,NA
