"","Juania_australis","Drimys_confertifolia","Myrceugenia_fernandeziana","Fagara_mayu_","Dysopsis","Spergularia","Coprosma","Sophora","Rhapiothamnus","Rubus","Plantago","Poaceae","Asteraceae_1","Asteraceae_2","Asteraceae_3","Chenopodium","Rosaceae","Gunnera","Haloragis","Dicksonia","Blechnum","Blechnum_small","Pteris","Lophosoria","Histiopteris","Thyrsopteris_elegans","Hymenophyllaceae","Polypodium","Cal_yrs_BP","min","max"
"V2",0.0183681773265389,0.0082734300827343,0.168045571680456,0.00643273720718451,0,0,0,0,0,0.000910658580535157,0,0.0082734300827343,0,0,0,0,0,0.000910658580535157,0.000910658580535157,0.000910658580535157,0.0514231462285172,0.734630214489159,0,0,0,0,0,0.000910658580535157,208,NA,NA
"V3",0.00134534556824613,0.0080720734094768,0.0766475844088366,0.0040360367047384,0,0,0,0,0,0,0,0.0017907013425621,0.000899989793930172,0,0,0,0,0.000445355774315961,0.000899989793930172,0,0.00313604691080823,0.896445504226241,0.00224533536217631,0.000445355774315961,0.00134534556824613,0,0.000899989793930172,0.00134534556824613,237.5,NA,NA
"V4",0.0184291057463448,0.0584835090105406,0.560013600816049,0.039986399183951,0,0.00306018361101666,0,0,0,0,0,0.0092485549132948,0.00306018361101666,0,0,0,0,0.00306018361101666,0.00306018361101666,0,0.00306018361101666,0.280040802448147,0.0092485549132948,0,0.0092485549132948,0,0,0,269,NA,NA
"V5",0.125462595823421,0.149054982817869,0.15652260111023,0.0111683848797251,0,0,0,0,0,0,0,0.00994581020354216,0.00125561723499868,0,0,0,0,0,0.0024781919111816,0,0.0111683848797251,0.496893999471319,0.00869019296854348,0.00125561723499868,0.0186360031720856,0,0,0.00746761829236056,298,NA,NA
"V6",0.509385696270942,0.132516663664205,0.120086470906143,0.0124301927580616,0,0.0372545487299586,0.00414339758602054,0.00414339758602054,0,0,0,0.039344262295082,0.00205368402089714,0.00205368402089714,0,0,0,0.00619708160691767,0,0.00619708160691767,0.00828679517204107,0.0848856061970816,0.0186272743649793,0,0.0103404791929382,0,0,0.00205368402089714,327.5,NA,NA
"V7",0.631821573225325,0.0975271797058196,0.0645651247068855,0.0123641014709017,0,0.0316030697079514,0.0109784694095076,0.00274461735237689,0,0,0.00138563206139416,0.0233425708804093,0.00548923470475378,0.00413024941377105,0,0,0,0.0123641014709017,0,0.00138563206139416,0.00138563206139416,0.0576902579407376,0.0219835855894266,0,0.0123641014709017,0.00138563206139416,0,0.00548923470475378,356,NA,NA
"V8",0.80671929388364,0.0230451268025858,0.0527877921432123,0.0044598458478369,0,0.0208229736449528,0.00520574341123819,0,0,0,0.00296805072103431,0.0275049726504227,0.00296805072103431,0.00149179512680259,0,0,0,0.0133795375435107,0.000745897563401293,0.000745897563401293,0.00296805072103431,0.0222992292391845,0.00742789656887121,0,0.00296805072103431,0,0,0.00149179512680259,385,NA,NA
"V9",0.768431729811973,0.0384131337227868,0.0651050960797941,0.009598587448579,0,0.0288145462742078,0.00319326784003607,0,0,0,0,0.0245505945113361,0.00640531960854293,0,0,0,0,0.0106692713714146,0.00107068392283562,0,0.00107068392283562,0.0288145462742078,0.00426395176287169,0,0.00107068392283562,0.00426395176287169,0.00107068392283562,0.00319326784003607,428,NA,NA
"V10",0.822288158330834,0.0205647006833857,0.0782500276195136,0.00331434162970913,0.0026514733037673,0.0026514733037673,0.00198860497782548,0.000662868325941825,0.000662868325941825,0,0.00198860497782548,0.0351478038541058,0.0026514733037673,0.00132573665188365,0,0.00132573665188365,0,0.00464007828159278,0,0.000662868325941825,0.00331434162970913,0.00861728823724373,0.00596581493347643,0,0,0,0,0.00132573665188365,485,NA,NA
"V11",0.897501448953181,0.0303764102482672,0.0120838725556358,0.00932093717497797,0.00103213103300437,0.00483513691615126,0.00172286487816884,0,0,0,0,0.0117345358983113,0.00241359872333331,0,0,0,0,0.00552587076131573,0.000341397187839909,0.0020722015354934,0.00172286487816884,0.0086302033298135,0.00379506641366224,0,0.00517653410399117,0.000341397187839909,0.00103213103300437,0.000341397187839909,587,NA,NA
"V12",0.781927670647895,0.0391005538133049,0.0495262560886101,0.0208514045506105,0,0.0225862414092213,0.0017348368586108,0,0,0,0,0.0173817308333889,0.00955828384599987,0,0,0,0,0.00346967371722159,0.00260225528791619,0,0,0.0356141989724428,0.00782344698738907,0,0.000867418429305398,0,0.0017348368586108,0.00522119169947288,781,NA,NA
"V13",0.746411483253589,0.0489544568491937,0.0521664008506114,0.01364522417154,0.000797448165869218,0.0441476165160376,0.00241449583554847,0,0.00241449583554847,0,0.00159489633173844,0.036926280347333,0.00480684033315612,0.00159489633173844,0.00159489633173844,0,0,0.0104332801701223,0,0.000797448165869218,0.00159489633173844,0.0208665603402446,0.00321194400141769,0,0.00241449583554847,0.000797448165869218,0,0.00241449583554847,913,NA,NA
"V14",0.858600734033618,0.0257602080145426,0.0268992256980798,0.00915816238480389,0.00115052291266381,0.0223201445056778,0.000575261456331903,0,0.000575261456331903,0,0,0.0166020456297387,0.00400381973607004,0.00115052291266381,0,0,0,0.00686862178860292,0,0.00115052291266381,0.00171427913986907,0.0183163247696078,0.00286480205253288,0,0,0,0,0.00228954059620097,1076,NA,NA
"V15",0.892873292206324,0.0151400148574012,0.0217370239979329,0.00737217790123058,0.00272116533703692,0.0163027679984497,0,0,0.000775168760698944,0,0,0.0100933432382675,0.00193792190174736,0,0,0,0.000387584380349472,0.0042715028584348,0,0.00155033752139789,0.00232550628209683,0.0159151836181002,0.00504667161913375,0,0,0,0,0.00155033752139789,1239,NA,NA
"V16",0.930956268873728,0.00930992059053797,0.00594564366401968,0.00594564366401968,0.00025947880550274,0.00465272340901465,0.00051895761100548,0,0.00051895761100548,0,0,0.0100838832345375,0.00103344144950229,0.00051895761100548,0.00025947880550274,0.00103344144950229,0,0.00465272340901465,0,0.00129292025500503,0.00051895761100548,0.0157745218655631,0.00543115982552287,0,0.00051895761100548,0,0,0.000773962643999553,1748,NA,NA
"V17",0.945943977357862,0.00473098587641166,0.00562931823857488,0.00608021865201587,0.000225450206720497,0.0020255833957657,0.000450900413440994,0,0.000225450206720497,0,0,0.0103603041149865,0.000676350620161492,0.00157815144704348,0,0,0,0.00247648380920669,0.000225450206720497,0,0.000450900413440994,0.0112621049418685,0.00562931823857488,0,0.000676350620161492,0,0,0.00135270124032298,2238,NA,NA
"V18",0.461556099052278,0.126566799143993,0.0769260165087129,0.0347370834607154,0,0.019833384286151,0.00248394986242739,0,0.00993579944970957,0,0.00248394986242739,0.0595383674717212,0.0248012840110058,0,0,0,0,0.0223173341485784,0.00248394986242739,0,0.00993579944970957,0.0843778660959951,0.0248012840110058,0,0.0173876490369917,0,0,0.019833384286151,3106,NA,NA
"V19",0.22114360127856,0.248313010536285,0.0544572037409731,0.112288386409376,0,0.057831182668403,0,0,0.00337397892742986,0,0,0.0748194625310761,0.0136143009352433,0.00337397892742986,0.00337397892742986,0,0,0.0169882798626731,0.00337397892742986,0.0136143009352433,0.0101811293950515,0.0816266129986978,0.0374097312655381,0,0.0101811293950515,0,0,0.0340357523381082,3600,NA,NA
"V20",0.466972627438125,0.115554827077528,0.023569906572693,0.0330109818062613,0.00472053761678413,0.0306507129978692,0,0,0,0,0.00236026880839207,0.0849041140796591,0.00944107523356827,0.00236026880839207,0.00236026880839207,0,0,0.0188821504671365,0,0.00944107523356827,0.0070808064251762,0.141517783969841,0.0259301753810851,0,0.00944107523356827,0,0,0.0118013440419603,3944,NA,NA
"V21",0.624262235539817,0.0724144193226187,0.0391355670571143,0.0117361300281486,0.00390447652773994,0.0391355670571143,0,0,0,0,0,0.043062744029783,0.00978389176427858,0.00195223826386997,0,0,0,0.00587941523653864,0,0.00587941523653864,0.00390447652773994,0.101766094615454,0.0293516752928357,0,0.00195223826386997,0,0,0.00587941523653864,4108,NA,NA
