,Calamus,Caryota,Celtis,Cyperaceae,Dipterocarpaceae,Elaeocarpus,Ficus,Ilex,Macaranga,Pometia,Pinanga,Poaceae,Syzygium,Trema,Weinmannia,Cal_yrs_BP,min,max
1,22,1,17,9,11,50,64,47,13,6,4,9,31,2,19,1394.675,1327.825,1480.625
2,15,0,22,3,8,49,47,24,20,13,5,7,38,1,9,1374.4,1309.65,1459.825
3,13,1,15,18,8,51,62,27,17,2,4,7,28,1,20,1353.975,1290.825,1437.3
4,11,0,19,4,10,50,43,36,15,10,5,17,19,10,11,1333.65,1272.725,1414.625
5,21,0,13,10,19,42,66,19,22,9,5,8,32,5,20,1313.25,1254.425,1393.275
6,20,0,15,3,15,45,38,33,10,5,11,7,17,2,14,1292.725,1236.2,1372.3
7,7,1,12,3,6,40,107,17,16,4,3,4,40,2,26,1272.45,1218.45,1350.975
8,21,0,18,3,10,46,47,40,23,2,4,5,27,5,15,1254.25,1200.4,1331.5
9,12,0,12,4,8,32,89,32,19,1,4,5,31,6,36,1236.625,1182.35,1312.2
10,14,0,15,1,10,18,48,25,22,3,11,14,35,8,24,1219,1164.65,1292.575
11,18,2,16,10,11,16,72,29,18,2,9,15,41,5,19,1201.375,1146.725,1273.325
12,15,3,15,2,6,17,39,20,52,4,2,15,23,4,12,1183.75,1128.625,1253.725
13,18,4,6,4,3,34,69,12,74,0,8,11,28,12,13,1166.075,1110.9,1234.6
14,13,5,19,3,7,32,61,21,46,0,7,6,40,8,12,1148.6,1093.975,1214.575
15,12,8,9,13,5,36,41,39,53,3,12,7,39,5,19,1130.95,1076.7,1194.45
16,13,4,21,3,4,31,53,69,35,3,7,19,27,8,13,1113.4,1058.75,1176.075
17,21,2,15,4,6,33,43,62,28,2,7,14,35,7,14,1095.925,1041.7,1156.975
18,17,1,16,7,9,44,45,38,33,2,3,12,45,10,14,1078.2,1024.375,1137.35
19,11,3,18,11,5,29,39,71,15,2,5,25,27,6,10,1060.725,1007.425,1117.6
20,16,3,21,18,14,30,41,45,26,2,1,16,20,8,12,1043.25,990.5,1098.9
21,18,3,17,11,10,47,55,40,15,0,3,12,24,11,13,1025.675,973.775,1079.65
22,18,2,18,3,20,23,36,62,24,4,8,26,33,6,7,1008.075,957.35,1060.35
23,15,3,18,3,21,10,67,50,29,4,5,10,25,6,7,990.4,940.675,1041.325
24,26,2,24,4,24,12,17,64,26,4,8,13,28,8,12,972.625,923.95,1022.625
25,15,3,22,6,14,19,52,32,42,5,4,5,28,4,8,952.8,901.9,1003.2
26,23,4,20,6,8,12,20,28,56,5,8,9,29,7,15,932.825,880.275,984.025
27,13,4,20,8,9,29,42,13,46,3,10,12,35,6,16,912.65,858.35,964.55
28,21,2,18,5,17,20,16,53,39,14,11,16,25,12,6,892.175,837.25,944.95
29,9,1,20,2,15,25,27,27,33,3,7,8,41,8,13,871.8,816.925,925.175
30,25,5,28,8,19,33,23,26,22,2,4,14,14,22,17,851.8,796.1,905.35
31,25,2,21,4,8,23,33,14,21,5,5,14,30,10,13,831.675,775.45,886.275
32,19,3,35,4,11,10,33,18,43,4,1,23,36,15,5,811.25,755.05,866.95
33,11,4,19,11,3,16,29,6,23,5,4,20,40,11,9,791.05,735.6,847.725
34,14,3,29,12,18,14,32,15,39,3,5,24,37,26,8,770.75,716.125,829.05
35,14,2,13,12,11,12,37,8,60,0,10,11,38,6,8,751.45,697.175,810.375
36,29,5,13,1,25,17,19,21,45,1,11,17,51,9,7,732.9,679.125,790.675
37,15,1,7,1,13,19,30,16,33,3,11,10,54,7,14,714.425,661.5,771.05
38,18,0,26,2,10,34,38,28,14,2,9,13,46,5,13,695.8,644.075,751.475
39,9,0,10,1,10,32,51,17,15,3,6,9,47,7,21,677.275,626.25,732.2
40,12,0,18,0,16,31,43,25,16,3,3,11,53,9,15,658.725,609.25,713.1
41,17,0,11,4,13,15,107,8,16,4,8,4,36,7,14,640.175,592.05,694.125
42,16,5,20,8,14,12,40,23,21,1,7,19,30,8,11,621.65,575.1,675.575
43,13,2,8,17,15,14,40,18,22,5,4,11,33,4,17,603.05,558.675,656.1
44,14,7,14,5,18,19,57,29,53,6,8,8,49,1,13,584.375,541.575,637.175
45,13,0,8,6,11,22,62,7,27,1,4,11,33,9,16,565.55,522.475,618.075
46,19,3,10,6,12,30,92,14,56,6,4,8,33,8,12,546.5,503.625,597.825
47,5,5,7,6,6,41,52,8,40,2,8,10,37,5,16,527.6,484.825,579
48,10,3,14,5,6,43,77,28,54,6,0,6,45,3,16,508.825,466.25,560.25
49,5,0,10,2,7,25,57,10,71,3,3,1,38,2,12,489.825,448.05,540.3
50,25,2,24,10,16,19,29,16,52,1,6,4,44,2,8,470.9,430.45,521.375
51,15,4,20,5,17,14,24,11,44,6,4,9,34,5,15,452.2,413.425,503.2
52,22,2,8,6,16,23,30,27,31,5,11,13,46,1,10,433.575,396.125,484.125
53,13,2,13,6,13,16,27,12,25,8,4,6,53,7,14,414.7,378.925,464.3
54,24,7,13,7,33,31,24,16,19,11,10,5,34,5,16,395.875,362.025,445.2
55,13,5,5,6,17,17,25,12,30,9,10,13,30,12,14,377.525,346.15,424.425
56,13,2,7,0,9,23,15,26,30,2,13,6,43,1,20,359.4,330.2,402.875
57,21,2,7,5,21,18,14,16,34,9,10,6,37,3,10,341.125,313.575,381.175
58,29,14,16,5,14,17,14,22,62,5,12,9,39,7,7,322.725,293.65,361.475
59,16,0,8,1,18,22,8,16,69,2,11,3,38,3,15,304.45,269.175,339.2
60,15,1,9,3,15,58,17,12,51,6,13,4,47,0,8,286.25,242.2,316.4
61,16,2,3,6,13,35,18,9,31,8,7,5,31,6,13,266.275,216.825,295.7
62,9,0,3,1,7,32,20,17,34,7,11,4,21,1,11,243.65,195.475,276.35
63,6,1,7,5,19,30,10,13,36,3,9,13,33,9,13,221.1,173.6,256.9
64,15,5,6,0,20,23,11,12,44,1,10,6,31,11,11,198.625,151.65,235.95
65,3,1,9,4,9,18,31,8,40,2,7,5,40,19,9,176.05,129.825,214.675
66,2,1,8,0,13,24,21,12,61,0,6,7,29,35,10,153.55,107.75,193.725
67,1,1,9,3,3,29,30,5,40,0,2,9,25,10,18,130.975,85.925,171.8
68,0,2,11,1,4,48,56,24,32,0,9,22,20,17,8,108.55,63.625,150.15
69,0,0,7,1,7,38,32,14,24,1,4,11,20,11,9,86.1,42.65,128.125
70,0,1,5,2,9,92,48,14,17,1,9,12,14,9,9,63.7,21.975,105.575
71,1,0,7,1,5,71,68,9,12,2,7,6,12,9,14,41.2,1.575,82.225
72,1,2,4,2,14,79,67,4,20,0,7,20,25,4,9,18.625,-18.75,58.45
73,0,0,5,1,8,55,56,2,18,1,4,23,10,3,15,-4.125,-38.35,33.475
74,0,0,10,3,19,75,39,9,39,2,9,23,19,9,13,-26.525,-57.875,8.7
75,0,4,2,7,82,39,2,27,0,12,6,7,9,10,293,-48.975,-77.075,-16.975
